date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:58	90322/90322	---M-Z	200	added ('OK')	text/html	etag:%22160d2-60c5f024-941681;gz%22	https://vetra.laborasyon.com/demos/default/index.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/index.html	(from )
13:28:58	705/705	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Apr%202023%2013:28:58%20GMT	https://vetra.laborasyon.com/robots.txt		(from )
13:28:59	1233/1233	---M--	200	added ('OK')	image/png	etag:%224d1-60c4dcc8-9419dc;;;%22	https://vetra.laborasyon.com/assets/images/favicon.png	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/assets/images/favicon.png	(from https://vetra.laborasyon.com/demos/default/index.html)
13:28:59	55640/55640	---M-Z	200	added ('OK')	text/css	etag:%22d958-60561898-9411a6;gz%22	https://vetra.laborasyon.com/dist/icons/bootstrap-icons-1.4.0/bootstrap-icons.min.css	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/dist/icons/bootstrap-icons-1.4.0/bootstrap-icons.min.css	(from https://vetra.laborasyon.com/demos/default/index.html)
13:28:59	30048/30048	---M-Z	200	added ('OK')	text/css	etag:%227560-60c72a52-941661;gz%22	https://vetra.laborasyon.com/dist/css/bootstrap-docs.css	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/dist/css/bootstrap-docs.css	(from https://vetra.laborasyon.com/demos/default/index.html)
13:28:59	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-59d34108-941b97;gz%22	https://vetra.laborasyon.com/libs/slick/slick.css	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/libs/slick/slick.css	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:00	270608/270608	---M-Z	200	added ('OK')	text/css	etag:%2242110-60c72a52-941662;gz%22	https://vetra.laborasyon.com/dist/css/app.min.css	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/dist/css/app.min.css	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:01	5164/5164	---M--	200	added ('OK')	image/jpeg	etag:%22142c-604fe2c4-9419cd;;;%22	https://vetra.laborasyon.com/assets/images/user/man_avatar3.jpg	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/assets/images/user/man_avatar3.jpg	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:01	4794/4794	---M-Z	200	added ('OK')	text/html	etag:%2212ba-60c5f028-9416a9;gz%22	https://vetra.laborasyon.com/demos/default/login.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/login.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:01	71520/71520	---M-Z	200	added ('OK')	text/html	etag:%2211760-60c4f698-941683;gz%22	https://vetra.laborasyon.com/demos/default/orders.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/orders.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:02	62725/62725	---M-Z	200	added ('OK')	text/html	etag:%22f505-60c4f698-94169f;gz%22	https://vetra.laborasyon.com/demos/default/order-detail.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/order-detail.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:02	82960/82960	---M-Z	200	added ('OK')	text/html	etag:%2214410-60c4f698-94168c;gz%22	https://vetra.laborasyon.com/demos/default/product-list.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/product-list.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:02	72416/72416	---M-Z	200	added ('OK')	text/html	etag:%2211ae0-60c4f698-9416b9;gz%22	https://vetra.laborasyon.com/demos/default/product-grid.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/product-grid.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:02	76853/76853	---M-Z	200	added ('OK')	text/html	etag:%2212c35-60c4f698-941691;gz%22	https://vetra.laborasyon.com/demos/default/product-detail.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/product-detail.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:03	61733/61733	---M-Z	200	added ('OK')	text/html	etag:%22f125-60c4f698-941696;gz%22	https://vetra.laborasyon.com/demos/default/shopping-cart.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/shopping-cart.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:03	73085/73085	---M-Z	200	added ('OK')	text/html	etag:%2211d7d-60c5f026-941695;gz%22	https://vetra.laborasyon.com/demos/default/checkout.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/checkout.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:03	60844/60844	---M-Z	200	added ('OK')	text/html	etag:%22edac-60c5f028-94167f;gz%22	https://vetra.laborasyon.com/demos/default/buyer-dashboard.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/buyer-dashboard.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:03	69771/69771	---M-Z	200	added ('OK')	text/html	etag:%221108b-60c5f02a-941667;gz%22	https://vetra.laborasyon.com/demos/default/buyer-orders.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/buyer-orders.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:04	59929/59929	---M-Z	200	added ('OK')	text/html	etag:%22ea19-60c5f02a-94168b;gz%22	https://vetra.laborasyon.com/demos/default/buyer-addresses.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/buyer-addresses.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:04	61425/61425	---M-Z	200	added ('OK')	text/html	etag:%22eff1-60c5f02a-941672;gz%22	https://vetra.laborasyon.com/demos/default/buyer-wishlist.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/buyer-wishlist.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:04	76792/76792	---M-Z	200	added ('OK')	text/html	etag:%2212bf8-60c5f026-9416bd;gz%22	https://vetra.laborasyon.com/demos/default/customers.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/customers.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:04	72174/72174	---M-Z	200	added ('OK')	text/html	etag:%22119ee-60c5f026-941668;gz%22	https://vetra.laborasyon.com/demos/default/invoices.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/invoices.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:05	58200/58200	---M-Z	200	added ('OK')	text/html	etag:%22e358-60c5f026-94168f;gz%22	https://vetra.laborasyon.com/demos/default/invoice-detail.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/invoice-detail.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:05	96034/96034	---M-Z	200	added ('OK')	text/html	etag:%2217722-60c5f026-9416a5;gz%22	https://vetra.laborasyon.com/demos/default/chats.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/chats.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:05	86846/86846	---M-Z	200	added ('OK')	text/html	etag:%221533e-60c5f026-94169d;gz%22	https://vetra.laborasyon.com/demos/default/email.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/email.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:05	61112/61112	---M-Z	200	added ('OK')	text/html	etag:%22eeb8-60c5f026-9416b4;gz%22	https://vetra.laborasyon.com/demos/default/email-detail.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/email-detail.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:06	34626/34626	---M-Z	200	added ('OK')	text/html	etag:%228742-60c5f02c-9416bb;gz%22	https://vetra.laborasyon.com/demos/default/email-template.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/email-template.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:06	114902/114902	---M-Z	200	added ('OK')	text/html	etag:%221c0d6-60c4f69a-9416b0;gz%22	https://vetra.laborasyon.com/demos/default/todo-list.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/todo-list.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:06	70926/70926	---M-Z	200	added ('OK')	text/html	etag:%221150e-60c4f69a-9416a7;gz%22	https://vetra.laborasyon.com/demos/default/todo-detail.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/todo-detail.html	(from https://vetra.laborasyon.com/demos/default/index.html)
13:29:07	71977/71977	---M-Z	200	added ('OK')	text/html	etag:%2211929-60c4f69c-9416b7;gz%22	https://vetra.laborasyon.com/demos/default/profile-posts.html	C:/My%20Web%20Sites/admin%20dashboard/vetra.laborasyon.com/demos/default/profile-posts.html	(from https://vetra.laborasyon.com/demos/default/index.html)
